time,latitud,longitud,QFF_Valor,CodigoNacional,nombreEstacion
1955-01-12 18:00:00,-33.445,-70.68278,950.6,330020.0,"Quinta Normal, Santiago"
1955-01-12 23:00:00,-33.445,-70.68278,951.1,330020.0,"Quinta Normal, Santiago"
1955-01-13 12:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-01-13 18:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-01-13 23:00:00,-33.445,-70.68278,952.8,330020.0,"Quinta Normal, Santiago"
1955-01-14 12:00:00,-33.445,-70.68278,954.4,330020.0,"Quinta Normal, Santiago"
1955-01-14 18:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-01-14 23:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-01-15 12:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-01-15 18:00:00,-33.445,-70.68278,956.4,330020.0,"Quinta Normal, Santiago"
1955-01-15 23:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-01-16 12:00:00,-33.445,-70.68278,954.8,330020.0,"Quinta Normal, Santiago"
1955-01-16 18:00:00,-33.445,-70.68278,954.5,330020.0,"Quinta Normal, Santiago"
1955-01-16 23:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-01-17 12:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-01-17 18:00:00,-33.445,-70.68278,954.0,330020.0,"Quinta Normal, Santiago"
1955-01-17 23:00:00,-33.445,-70.68278,953.6,330020.0,"Quinta Normal, Santiago"
1955-01-18 12:00:00,-33.445,-70.68278,955.3,330020.0,"Quinta Normal, Santiago"
1955-01-18 18:00:00,-33.445,-70.68278,953.2,330020.0,"Quinta Normal, Santiago"
1955-01-18 23:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-01-19 12:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-01-19 18:00:00,-33.445,-70.68278,954.8,330020.0,"Quinta Normal, Santiago"
1955-01-19 23:00:00,-33.445,-70.68278,954.7,330020.0,"Quinta Normal, Santiago"
1955-01-20 12:00:00,-33.445,-70.68278,957.3,330020.0,"Quinta Normal, Santiago"
1955-01-20 18:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-01-20 23:00:00,-33.445,-70.68278,957.2,330020.0,"Quinta Normal, Santiago"
1955-01-21 12:00:00,-33.445,-70.68278,956.5,330020.0,"Quinta Normal, Santiago"
1955-01-21 18:00:00,-33.445,-70.68278,955.8,330020.0,"Quinta Normal, Santiago"
1955-01-21 23:00:00,-33.445,-70.68278,956.5,330020.0,"Quinta Normal, Santiago"
1955-01-22 12:00:00,-33.445,-70.68278,956.7,330020.0,"Quinta Normal, Santiago"
1955-01-22 18:00:00,-33.445,-70.68278,954.1,330020.0,"Quinta Normal, Santiago"
1955-01-22 23:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-01-23 12:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-01-23 18:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-01-23 23:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-01-24 12:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-01-24 18:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-01-24 23:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-01-25 12:00:00,-33.445,-70.68278,955.2,330020.0,"Quinta Normal, Santiago"
1955-01-25 18:00:00,-33.445,-70.68278,955.1,330020.0,"Quinta Normal, Santiago"
1955-01-25 23:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-01-26 12:00:00,-33.445,-70.68278,956.4,330020.0,"Quinta Normal, Santiago"
1955-01-26 18:00:00,-33.445,-70.68278,954.4,330020.0,"Quinta Normal, Santiago"
1955-01-26 23:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-01-27 12:00:00,-33.445,-70.68278,954.0,330020.0,"Quinta Normal, Santiago"
1955-01-27 18:00:00,-33.445,-70.68278,952.4,330020.0,"Quinta Normal, Santiago"
1955-01-27 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-01-28 12:00:00,-33.445,-70.68278,954.1,330020.0,"Quinta Normal, Santiago"
1955-01-28 18:00:00,-33.445,-70.68278,953.8,330020.0,"Quinta Normal, Santiago"
1955-01-28 23:00:00,-33.445,-70.68278,952.7,330020.0,"Quinta Normal, Santiago"
1955-01-29 12:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-01-29 18:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-01-29 23:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-01-30 12:00:00,-33.445,-70.68278,954.7,330020.0,"Quinta Normal, Santiago"
1955-01-30 18:00:00,-33.445,-70.68278,954.6,330020.0,"Quinta Normal, Santiago"
1955-01-30 23:00:00,-33.445,-70.68278,954.7,330020.0,"Quinta Normal, Santiago"
1955-01-31 12:00:00,-33.445,-70.68278,959.7,330020.0,"Quinta Normal, Santiago"
1955-01-31 18:00:00,-33.445,-70.68278,958.4,330020.0,"Quinta Normal, Santiago"
1955-01-31 23:00:00,-33.445,-70.68278,956.0,330020.0,"Quinta Normal, Santiago"
1955-02-01 12:00:00,-33.445,-70.68278,954.5,330020.0,"Quinta Normal, Santiago"
1955-02-01 18:00:00,-33.445,-70.68278,954.9,330020.0,"Quinta Normal, Santiago"
1955-02-01 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-02-02 12:00:00,-33.445,-70.68278,955.3,330020.0,"Quinta Normal, Santiago"
1955-02-02 18:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-02-02 23:00:00,-33.445,-70.68278,955.5,330020.0,"Quinta Normal, Santiago"
1955-02-03 12:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-02-03 18:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-02-03 23:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-02-04 12:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-02-04 18:00:00,-33.445,-70.68278,951.4,330020.0,"Quinta Normal, Santiago"
1955-02-04 23:00:00,-33.445,-70.68278,950.2,330020.0,"Quinta Normal, Santiago"
1955-02-05 12:00:00,-33.445,-70.68278,952.3,330020.0,"Quinta Normal, Santiago"
1955-02-05 18:00:00,-33.445,-70.68278,951.8,330020.0,"Quinta Normal, Santiago"
1955-02-05 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-02-06 12:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-02-06 18:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-02-06 23:00:00,-33.445,-70.68278,952.6,330020.0,"Quinta Normal, Santiago"
1955-02-07 12:00:00,-33.445,-70.68278,953.9,330020.0,"Quinta Normal, Santiago"
1955-02-07 18:00:00,-33.445,-70.68278,951.6,330020.0,"Quinta Normal, Santiago"
1955-02-07 23:00:00,-33.445,-70.68278,951.0,330020.0,"Quinta Normal, Santiago"
1955-02-08 12:00:00,-33.445,-70.68278,953.8,330020.0,"Quinta Normal, Santiago"
1955-02-08 18:00:00,-33.445,-70.68278,951.6,330020.0,"Quinta Normal, Santiago"
1955-02-08 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-02-09 12:00:00,-33.445,-70.68278,951.8,330020.0,"Quinta Normal, Santiago"
1955-02-09 18:00:00,-33.445,-70.68278,951.2,330020.0,"Quinta Normal, Santiago"
1955-02-09 23:00:00,-33.445,-70.68278,951.3,330020.0,"Quinta Normal, Santiago"
1955-02-10 12:00:00,-33.445,-70.68278,953.2,330020.0,"Quinta Normal, Santiago"
1955-02-10 18:00:00,-33.445,-70.68278,950.8,330020.0,"Quinta Normal, Santiago"
1955-02-10 23:00:00,-33.445,-70.68278,950.7,330020.0,"Quinta Normal, Santiago"
1955-02-11 12:00:00,-33.445,-70.68278,950.7,330020.0,"Quinta Normal, Santiago"
1955-02-11 18:00:00,-33.445,-70.68278,950.0,330020.0,"Quinta Normal, Santiago"
1955-02-11 23:00:00,-33.445,-70.68278,949.8,330020.0,"Quinta Normal, Santiago"
1955-02-12 12:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-02-12 18:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-02-12 23:00:00,-33.445,-70.68278,953.0,330020.0,"Quinta Normal, Santiago"
1955-02-13 12:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-02-13 18:00:00,-33.445,-70.68278,952.3,330020.0,"Quinta Normal, Santiago"
1955-02-13 23:00:00,-33.445,-70.68278,951.8,330020.0,"Quinta Normal, Santiago"
1955-02-14 12:00:00,-33.445,-70.68278,955.3,330020.0,"Quinta Normal, Santiago"
1955-02-14 18:00:00,-33.445,-70.68278,954.8,330020.0,"Quinta Normal, Santiago"
1955-02-14 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-02-15 12:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-02-15 18:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-02-15 23:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-02-16 12:00:00,-33.445,-70.68278,950.9,330020.0,"Quinta Normal, Santiago"
1955-02-16 18:00:00,-33.445,-70.68278,949.8,330020.0,"Quinta Normal, Santiago"
1955-02-16 23:00:00,-33.445,-70.68278,948.3,330020.0,"Quinta Normal, Santiago"
1955-02-17 12:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-02-17 18:00:00,-33.445,-70.68278,954.6,330020.0,"Quinta Normal, Santiago"
1955-02-17 23:00:00,-33.445,-70.68278,953.1,330020.0,"Quinta Normal, Santiago"
1955-02-18 12:00:00,-33.445,-70.68278,953.8,330020.0,"Quinta Normal, Santiago"
1955-02-18 18:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-02-18 23:00:00,-33.445,-70.68278,952.3,330020.0,"Quinta Normal, Santiago"
1955-02-19 12:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-02-19 18:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-02-19 23:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-02-20 12:00:00,-33.445,-70.68278,953.1,330020.0,"Quinta Normal, Santiago"
1955-02-20 18:00:00,-33.445,-70.68278,952.4,330020.0,"Quinta Normal, Santiago"
1955-02-20 23:00:00,-33.445,-70.68278,950.4,330020.0,"Quinta Normal, Santiago"
1955-02-21 12:00:00,-33.445,-70.68278,951.1,330020.0,"Quinta Normal, Santiago"
1955-02-21 18:00:00,-33.445,-70.68278,950.0,330020.0,"Quinta Normal, Santiago"
1955-02-21 23:00:00,-33.445,-70.68278,949.1,330020.0,"Quinta Normal, Santiago"
1955-02-22 12:00:00,-33.445,-70.68278,951.2,330020.0,"Quinta Normal, Santiago"
1955-02-22 18:00:00,-33.445,-70.68278,950.8,330020.0,"Quinta Normal, Santiago"
1955-02-22 23:00:00,-33.445,-70.68278,949.8,330020.0,"Quinta Normal, Santiago"
1955-02-23 12:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-02-23 18:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-02-23 23:00:00,-33.445,-70.68278,951.8,330020.0,"Quinta Normal, Santiago"
1955-02-24 12:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-02-24 18:00:00,-33.445,-70.68278,950.8,330020.0,"Quinta Normal, Santiago"
1955-02-24 23:00:00,-33.445,-70.68278,950.6,330020.0,"Quinta Normal, Santiago"
1955-02-25 12:00:00,-33.445,-70.68278,951.6,330020.0,"Quinta Normal, Santiago"
1955-02-25 18:00:00,-33.445,-70.68278,951.2,330020.0,"Quinta Normal, Santiago"
1955-02-25 23:00:00,-33.445,-70.68278,950.3,330020.0,"Quinta Normal, Santiago"
1955-02-26 12:00:00,-33.445,-70.68278,952.4,330020.0,"Quinta Normal, Santiago"
1955-02-26 18:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-02-26 23:00:00,-33.445,-70.68278,951.6,330020.0,"Quinta Normal, Santiago"
1955-02-27 12:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-02-27 18:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-02-27 23:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-02-28 12:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-02-28 18:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-02-28 23:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-03-01 12:00:00,-33.445,-70.68278,953.9,330020.0,"Quinta Normal, Santiago"
1955-03-01 18:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-03-01 23:00:00,-33.445,-70.68278,955.6,330020.0,"Quinta Normal, Santiago"
1955-03-02 12:00:00,-33.445,-70.68278,954.4,330020.0,"Quinta Normal, Santiago"
1955-03-02 18:00:00,-33.445,-70.68278,953.1,330020.0,"Quinta Normal, Santiago"
1955-03-02 23:00:00,-33.445,-70.68278,954.6,330020.0,"Quinta Normal, Santiago"
1955-03-03 12:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-03-03 18:00:00,-33.445,-70.68278,952.7,330020.0,"Quinta Normal, Santiago"
1955-03-03 23:00:00,-33.445,-70.68278,952.1,330020.0,"Quinta Normal, Santiago"
1955-03-04 12:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-03-04 18:00:00,-33.445,-70.68278,951.2,330020.0,"Quinta Normal, Santiago"
1955-03-04 23:00:00,-33.445,-70.68278,951.3,330020.0,"Quinta Normal, Santiago"
1955-03-05 12:00:00,-33.445,-70.68278,951.0,330020.0,"Quinta Normal, Santiago"
1955-03-05 18:00:00,-33.445,-70.68278,950.2,330020.0,"Quinta Normal, Santiago"
1955-03-05 23:00:00,-33.445,-70.68278,950.2,330020.0,"Quinta Normal, Santiago"
1955-03-06 12:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-03-06 18:00:00,-33.445,-70.68278,951.3,330020.0,"Quinta Normal, Santiago"
1955-03-06 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-03-07 12:00:00,-33.445,-70.68278,952.4,330020.0,"Quinta Normal, Santiago"
1955-03-07 18:00:00,-33.445,-70.68278,952.6,330020.0,"Quinta Normal, Santiago"
1955-03-07 23:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-03-08 12:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-03-08 18:00:00,-33.445,-70.68278,952.8,330020.0,"Quinta Normal, Santiago"
1955-03-08 23:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-03-09 12:00:00,-33.445,-70.68278,953.2,330020.0,"Quinta Normal, Santiago"
1955-03-09 18:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-03-09 23:00:00,-33.445,-70.68278,952.5,330020.0,"Quinta Normal, Santiago"
1955-03-10 12:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-03-10 18:00:00,-33.445,-70.68278,954.7,330020.0,"Quinta Normal, Santiago"
1955-03-10 23:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-03-11 12:00:00,-33.445,-70.68278,956.3,330020.0,"Quinta Normal, Santiago"
1955-03-11 18:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-03-11 23:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-03-12 12:00:00,-33.445,-70.68278,953.6,330020.0,"Quinta Normal, Santiago"
1955-03-12 18:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-03-12 23:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-03-13 12:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-03-13 18:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-03-13 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-03-14 12:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-03-14 18:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-03-14 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-03-15 12:00:00,-33.445,-70.68278,952.8,330020.0,"Quinta Normal, Santiago"
1955-03-15 18:00:00,-33.445,-70.68278,952.1,330020.0,"Quinta Normal, Santiago"
1955-03-15 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-03-16 12:00:00,-33.445,-70.68278,953.0,330020.0,"Quinta Normal, Santiago"
1955-03-16 18:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-03-16 23:00:00,-33.445,-70.68278,951.4,330020.0,"Quinta Normal, Santiago"
1955-03-17 12:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-03-17 18:00:00,-33.445,-70.68278,952.1,330020.0,"Quinta Normal, Santiago"
1955-03-17 23:00:00,-33.445,-70.68278,950.8,330020.0,"Quinta Normal, Santiago"
1955-03-18 12:00:00,-33.445,-70.68278,955.2,330020.0,"Quinta Normal, Santiago"
1955-03-18 18:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-03-18 23:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-03-19 12:00:00,-33.445,-70.68278,955.3,330020.0,"Quinta Normal, Santiago"
1955-03-19 18:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-03-19 23:00:00,-33.445,-70.68278,954.4,330020.0,"Quinta Normal, Santiago"
1955-03-20 12:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-03-20 18:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-03-20 23:00:00,-33.445,-70.68278,952.0,330020.0,"Quinta Normal, Santiago"
1955-03-21 12:00:00,-33.445,-70.68278,953.2,330020.0,"Quinta Normal, Santiago"
1955-03-21 18:00:00,-33.445,-70.68278,954.8,330020.0,"Quinta Normal, Santiago"
1955-03-21 23:00:00,-33.445,-70.68278,954.6,330020.0,"Quinta Normal, Santiago"
1955-03-22 12:00:00,-33.445,-70.68278,954.7,330020.0,"Quinta Normal, Santiago"
1955-03-22 18:00:00,-33.445,-70.68278,952.6,330020.0,"Quinta Normal, Santiago"
1955-03-22 23:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-03-23 12:00:00,-33.445,-70.68278,952.6,330020.0,"Quinta Normal, Santiago"
1955-03-23 18:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-03-23 23:00:00,-33.445,-70.68278,953.3,330020.0,"Quinta Normal, Santiago"
1955-03-24 12:00:00,-33.445,-70.68278,956.3,330020.0,"Quinta Normal, Santiago"
1955-03-24 18:00:00,-33.445,-70.68278,954.1,330020.0,"Quinta Normal, Santiago"
1955-03-24 23:00:00,-33.445,-70.68278,954.8,330020.0,"Quinta Normal, Santiago"
1955-03-25 12:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-03-25 18:00:00,-33.445,-70.68278,951.3,330020.0,"Quinta Normal, Santiago"
1955-03-25 23:00:00,-33.445,-70.68278,951.5,330020.0,"Quinta Normal, Santiago"
1955-03-26 12:00:00,-33.445,-70.68278,952.4,330020.0,"Quinta Normal, Santiago"
1955-03-26 18:00:00,-33.445,-70.68278,951.4,330020.0,"Quinta Normal, Santiago"
1955-03-26 23:00:00,-33.445,-70.68278,951.3,330020.0,"Quinta Normal, Santiago"
1955-03-27 12:00:00,-33.445,-70.68278,953.0,330020.0,"Quinta Normal, Santiago"
1955-03-27 18:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-03-27 23:00:00,-33.445,-70.68278,951.8,330020.0,"Quinta Normal, Santiago"
1955-03-28 12:00:00,-33.445,-70.68278,951.4,330020.0,"Quinta Normal, Santiago"
1955-03-28 18:00:00,-33.445,-70.68278,951.9,330020.0,"Quinta Normal, Santiago"
1955-03-28 23:00:00,-33.445,-70.68278,952.2,330020.0,"Quinta Normal, Santiago"
1955-03-29 12:00:00,-33.445,-70.68278,953.2,330020.0,"Quinta Normal, Santiago"
1955-03-29 18:00:00,-33.445,-70.68278,951.4,330020.0,"Quinta Normal, Santiago"
1955-03-29 23:00:00,-33.445,-70.68278,952.6,330020.0,"Quinta Normal, Santiago"
1955-03-30 12:00:00,-33.445,-70.68278,953.8,330020.0,"Quinta Normal, Santiago"
1955-03-30 18:00:00,-33.445,-70.68278,953.5,330020.0,"Quinta Normal, Santiago"
1955-03-30 23:00:00,-33.445,-70.68278,954.0,330020.0,"Quinta Normal, Santiago"
1955-03-31 12:00:00,-33.445,-70.68278,957.7,330020.0,"Quinta Normal, Santiago"
1955-03-31 18:00:00,-33.445,-70.68278,956.8,330020.0,"Quinta Normal, Santiago"
1955-03-31 23:00:00,-33.445,-70.68278,956.8,330020.0,"Quinta Normal, Santiago"
1955-04-01 12:00:00,-33.445,-70.68278,956.6,330020.0,"Quinta Normal, Santiago"
1955-04-01 18:00:00,-33.445,-70.68278,955.8,330020.0,"Quinta Normal, Santiago"
1955-04-01 23:00:00,-33.445,-70.68278,955.6,330020.0,"Quinta Normal, Santiago"
1955-04-02 12:00:00,-33.445,-70.68278,955.2,330020.0,"Quinta Normal, Santiago"
1955-04-02 18:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-04-02 23:00:00,-33.445,-70.68278,954.4,330020.0,"Quinta Normal, Santiago"
1955-04-03 12:00:00,-33.445,-70.68278,956.4,330020.0,"Quinta Normal, Santiago"
1955-04-03 18:00:00,-33.445,-70.68278,955.7,330020.0,"Quinta Normal, Santiago"
1955-04-03 23:00:00,-33.445,-70.68278,955.3,330020.0,"Quinta Normal, Santiago"
1955-04-04 12:00:00,-33.445,-70.68278,954.3,330020.0,"Quinta Normal, Santiago"
1955-04-04 18:00:00,-33.445,-70.68278,952.9,330020.0,"Quinta Normal, Santiago"
1955-04-04 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-04-05 12:00:00,-33.445,-70.68278,955.0,330020.0,"Quinta Normal, Santiago"
1955-04-05 18:00:00,-33.445,-70.68278,953.4,330020.0,"Quinta Normal, Santiago"
1955-04-05 23:00:00,-33.445,-70.68278,953.7,330020.0,"Quinta Normal, Santiago"
1955-04-06 12:00:00,-33.445,-70.68278,955.4,330020.0,"Quinta Normal, Santiago"
1955-04-06 18:00:00,-33.445,-70.68278,956.1,330020.0,"Quinta Normal, Santiago"
1955-04-06 23:00:00,-33.445,-70.68278,955.1,330020.0,"Quinta Normal, Santiago"
1955-04-07 12:00:00,-33.445,-70.68278,954.2,330020.0,"Quinta Normal, Santiago"
1955-04-07 18:00:00,-33.445,-70.68278,959.0,330020.0,"Quinta Normal, Santiago"
