time,latitud,longitud,RRR24_Valor,Traza_Valor,CodigoNacional,nombreEstacion
1970-01-01 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-02 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-03 12:00:00,-17.595,-69.4775,5.0,0.0,170001.0,Visviri Tenencia
1970-01-04 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-05 12:00:00,-17.595,-69.4775,10.0,0.0,170001.0,Visviri Tenencia
1970-01-06 12:00:00,-17.595,-69.4775,3.0,0.0,170001.0,Visviri Tenencia
1970-01-07 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-08 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-09 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-10 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-11 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-12 12:00:00,-17.595,-69.4775,10.0,0.0,170001.0,Visviri Tenencia
1970-01-13 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-14 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-15 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-16 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-17 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-18 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-19 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-20 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-21 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-22 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-23 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-24 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-25 12:00:00,-17.595,-69.4775,5.0,0.0,170001.0,Visviri Tenencia
1970-01-26 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-27 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-28 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-29 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-30 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-01-31 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-01 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-02 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-03 12:00:00,-17.595,-69.4775,15.0,0.0,170001.0,Visviri Tenencia
1970-02-04 12:00:00,-17.595,-69.4775,15.0,0.0,170001.0,Visviri Tenencia
1970-02-05 12:00:00,-17.595,-69.4775,7.0,0.0,170001.0,Visviri Tenencia
1970-02-06 12:00:00,-17.595,-69.4775,6.0,0.0,170001.0,Visviri Tenencia
1970-02-07 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-08 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-09 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-10 12:00:00,-17.595,-69.4775,3.5,0.0,170001.0,Visviri Tenencia
1970-02-11 12:00:00,-17.595,-69.4775,21.0,0.0,170001.0,Visviri Tenencia
1970-02-12 12:00:00,-17.595,-69.4775,3.5,0.0,170001.0,Visviri Tenencia
1970-02-13 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-14 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-15 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-16 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-17 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-18 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-19 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-20 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-21 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-22 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-23 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-24 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-25 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-26 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-27 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-02-28 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-01 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-02 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-03 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-04 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-05 12:00:00,-17.595,-69.4775,3.0,0.0,170001.0,Visviri Tenencia
1970-03-06 12:00:00,-17.595,-69.4775,8.0,0.0,170001.0,Visviri Tenencia
1970-03-07 12:00:00,-17.595,-69.4775,3.0,0.0,170001.0,Visviri Tenencia
1970-03-08 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-09 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-10 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-11 12:00:00,-17.595,-69.4775,4.0,0.0,170001.0,Visviri Tenencia
1970-03-12 12:00:00,-17.595,-69.4775,4.0,0.0,170001.0,Visviri Tenencia
1970-03-13 12:00:00,-17.595,-69.4775,0.0,0.0,170001.0,Visviri Tenencia
1970-03-14 12:00:00,-17.595,-69.4775,13.0,0.0,170001.0,Visviri Tenencia
